,,,dense_complex (SARSA),dense_complex (QAgent),dense_simple (SARSA),dense_simple (QAgent),sparse_complex (SARSA),sparse_complex (QAgent),sparse_simple (SARSA),sparse_simple (QAgent)
0,,,176,136,101,49,290,279,157,280
1,,,199,204,151,168,298,238,83,237
2,,,180,186,154,48,309,267,251,376
3,,,123,148,135,85,215,305,211,322
4,,,178,175,78,130,374,315,278,117
5,,,121,224,292,145,319,166,346,151
6,,,210,115,264,124,342,270,275,146
7,,,209,159,57,135,383,195,101,85
8,,,177,151,51,87,354,250,369,210
9,,,169,186,206,57,234,223,212,127
10,,,159,186,84,68,190,224,109,275
11,,,123,123,37,114,227,186,409,218
12,,,179,257,171,63,249,305,131,151
13,,,265,147,102,91,240,240,342,243
14,,,187,194,158,155,290,278,107,154
15,,,207,175,111,87,283,306,376,179
16,,,293,159,144,133,189,286,82,335
17,,,169,175,119,119,233,236,254,190
18,,,169,182,216,254,352,146,96,192
19,,,165,157,186,66,280,147,109,280
20,,,139,241,173,137,228,160,367,134
21,,,142,150,173,109,204,270,320,130
22,,,212,148,57,60,332,344,331,163
23,,,190,163,93,162,275,299,72,181
24,,,194,157,64,127,336,153,301,250
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,contestClassic (SARSA),contestClassic (QAgent),powerClassic (SARSA),powerClassic (QAgent),trickyClassic (SARSA),trickyClassic (QAgent),mediumClassic (SARSA),mediumClassic (QAgent),medium_complex (SARSA),medium_complex (QAgent)
,199,218,194,302,338,288,109,68,168,112
,269,147,247,188,242,361,175,93,271,253
,214,177,268,146,337,223,155,111,168,122
,234,167,184,228,306,145,141,174,210,164
,129,232,151,124,214,345,81,146,125,154
,218,255,256,195,356,332,78,141,107,114
,243,161,198,254,258,194,113,218,185,138
,251,155,214,191,396,201,123,127,174,168
,285,224,111,173,269,336,69,159,297,176
,256,180,144,262,354,233,144,105,143,115
,224,251,190,146,343,219,134,124,137,193
,214,99,230,277,180,311,133,132,207,187
,344,168,166,245,302,272,342,113,192,157
,226,320,102,140,155,291,180,118,144,108
,224,185,196,246,315,334,105,170,138,117
,370,189,249,268,210,173,91,99,174,142
,195,165,171,221,198,295,78,93,149,115
,191,216,203,210,327,330,92,157,147,158
,205,290,200,269,295,207,313,127,131,144
,210,172,165,175,244,270,253,132,210,205
,107,172,183,296,269,205,122,54,151,122
,118,68,234,195,310,160,115,175,181,212
,284,311,184,204,244,222,90,202,189,149
,177,261,157,145,238,214,66,253,148,178
,180,111,134,208,197,272,244,60,144,273
